cluster_index, module_index, channel0, channel1

Event: 0
3,612,230,1434
4,682,272,573
5,696,0,568
5,696,0,569
6,738,239,607
7,739,293,785
7,739,293,786
7,739,293,787
8,753,22,824
8,753,22,825
8,753,22,826
8,753,22,827
9,753,22,837
9,753,22,838
9,753,22,839
9,753,22,840
10,934,291,1143
10,934,291,1144
11,948,20,1154
11,948,19,1155
11,948,20,1155
12,1228,129,475
13,1326,218,533
13,1326,219,533
14,1328,303,365
14,1328,303,366
14,1328,303,367
14,1328,303,368
15,1342,25,404
15,1342,25,405
15,1342,24,406
15,1342,25,406
16,2082,240,358
16,2082,240,359
17,2236,109,443
18,2239,225,181
18,2239,225,182
18,2239,225,183
19,2727,154,342
20,4213,140,82
21,4302,168,77
22,4318,118,87
23,4678,255,83
24,5158,180,73
25,5311,218,81
25,5311,219,81
26,5326,164,81
27,5834,222,14
27,5834,223,14
27,5834,224,14
27,5834,225,14
27,5834,219,15
27,5834,220,15
27,5834,221,15
27,5834,222,15
27,5834,223,15
28,5834,203,17
28,5834,204,17
28,5834,205,17
29,5834,207,17
29,5834,208,17
29,5834,209,17
29,5834,210,17
28,5834,198,18
28,5834,199,18
28,5834,200,18
28,5834,201,18
28,5834,202,18
28,5834,203,18
30,5834,188,19
30,5834,189,19
31,6502,194,61
32,6720,178,31
33,6733,131,71
34,7451,175,56
35,8371,99,47
36,8653,100,88
36,8653,100,89
37,8665,80,61
37,8665,81,61
38,9615,95,7
38,9615,96,7
39,12294,269,0
40,12295,275,0
40,12295,276,0
41,12652,152,0
42,12653,153,0
43,12672,168,0
44,12673,171,0
45,13816,77,0
46,13817,80,0
47,13817,83,0
47,13817,84,0
48,13817,104,0
49,15108,369,0
50,15109,379,0
50,15109,380,0
51,15150,47,0
52,15151,55,0
53,15598,119,0
54,15599,119,0
55,15612,185,0
56,15613,191,0
57,17094,174,0
58,17095,185,0

Event: 7
0,501,274,927
0,501,274,928
1,515,14,944
1,515,13,945
1,515,14,945
2,556,199,1435
2,556,199,1436
2,556,200,1436
2,556,200,1437
3,613,192,1271
3,613,191,1272
3,613,192,1272
3,613,191,1273
4,641,189,212
