sp_x, sp_y, sp_z

Event: 0
1.58059,32.3775,37.5391
-38.0539,-56.6086,-194.786
43.8864,-51.5449,67.0436
44.77,-52.6057,68.8799
66.7668,-14.7405,-38.825
4.14266,68.6865,104.675
8.40576,113.359,187.401
-62.3803,-95.281,-310.16
73.2362,-88.2691,128.839
73.2468,-88.2572,129.413
72.2017,-89.4348,134.105
111.015,-26.1277,-50.025
15.2058,168.951,290.389
15.4175,170.733,293.596
-90.6959,-143.207,-451.244
-91.4992,-144.651,-455.42
106.698,-132.8,201.967
165.109,-41.8124,-63.775
-258.279,-541.685,-1547.5
-229.643,-449.029,-1302.5
-135.948,-226.984,-692.4
-132.857,-221.054,-675.6
157.818,-207.755,321.3
251.875,-71.1565,-86.3
30.1637,260.132,459.8
51.5349,354.723,637.8
-178.063,-316.421,-942.9
-175.713,-311.033,-927.9
210.989,-296.341,456.2
207.89,-291.015,448.4
345.234,-108.625,-111.5
93.3232,492.348,902.2
271.968,-417.382,633.6
468.844,-168.954,-145.1
332.723,-570.509,850
612.228,-256.609,-187.6
612.475,-256.233,-187.6
607.276,-252.677,-186.4
340.348,-552.9,1292.5
374.111,-536.363,1297.5
347.369,-566.86,1542.5

Event: 17
25.9559,19.0343,53.7981
26.1309,18.7235,54.3576
25.9209,19.0965,54.7593
17.335,-26.9124,12.565
18.2856,-28.4605,13.4704
25.6247,20.5111,50.126
-6.06403,31.4558,0.825001
-6.38005,33.0791,1.025
-26.3762,18.1513,-23.2795
-27.8268,19.1474,-24.382
-56.6086,38.0539,-45.8949
36.3707,-57.9924,30.7035
52.3929,42.898,106.738
53.6372,43.9605,109.391
-12.2464,67.2225,5.36247
-18.9185,112.088,10.975
-95.4206,62.1148,-74.4768
59.0008,-97.0179,53.22
59.8067,-98.4483,54.0366
87.5386,73.8844,182.79
-25.3623,167.755,18.025
-144.144,90.3198,-109.605
85.7941,-146.861,81.3351
128.241,112.097,273.481
-31.7482,256.862,29.4
-222.276,131.15,-164.8
125.367,-229.223,127.1
189.679,175.94,417.8
-32.5877,357.444,41.4
-319.161,174.881,-230.8
-313.315,172.367,-226.6
163.438,-322.119,176.8
255.523,253.251,583.1
340.19,368.628,817
-23.3386,499.948,59.9
-449.874,222.628,-317.7
206.807,-454,246.4
424.015,507.451,1082
3.13458,662.829,80.3
1.7922,657.038,79.1
-607.04,264.508,-417.8
243.235,-611.384,327.3

Event: 18
-125.581,102.928,-622.6
27.7344,-16.4207,4.9858
25.0488,-19.8427,49.4612
28.4699,-16.8477,3.13163
-16.3765,27.452,40.9317
-25.481,19.292,-62.0025
-17.546,29.403,38.4716
-34.6251,59.49,1.06308
-54.5071,42.2008,-220.716
52.6037,-42.6238,20.3505
58.6653,-33.9954,-72.8411
53.7833,-43.6289,19.0923
-55.954,99.1172,-47.5788
-88.9156,70.7372,-412.375
-90.2773,71.8949,-420.027
87.4369,-72.8758,-17.3187
99.9909,-56.0023,-174.941
-81.5162,150.07,-109.131
128.586,-111.121,-63.2146
150.092,-80.6714,-296.919
-463.319,520.477,-2947.5
-413.642,439.564,-2542.5
-370.052,375.555,-2207.5
-321.413,311.006,-1857.5
-274.945,255.01,-1542.5
-236.293,211.983,-1292.5
583.336,-217.06,-1292.5
-118.393,231.543,-205.6
-198.637,172.942,-1059.8
-194.6,168.793,-1034.6
193.204,-176.948,-138.5
232.491,-116.879,-493.3
-154.12,324.989,-314.1
258.361,-251.754,-219.4
327.097,-152.171,-714.5
-195.411,463.601,-469.4
-194.026,457.856,-463.4
342.381,-363.415,-333.3
462.471,-191.962,-1022.1
-226.426,621.131,-643.2
427.818,-502.201,-465.8

Event: 19
-22.3207,-23.1041,-96.5065
9.17985,30.6143,-147.855
-6.06403,31.4558,-127.509
-6.36026,33.0902,-129.655
-31.8466,4.77352,-74.3996
-32.7786,4.9065,-74.0707
-67.1863,9.25648,-61.6931
-47.8083,-48.535,-108.457
20.1155,64.6685,-217.18
20.6731,66.3129,-220.734
-12.0747,67.2787,-174.897
35.2344,108.067,-306.266
35.8553,109.826,-309.854
-18.4815,112.196,-233.793
-113.354,14.089,-45.1135
-80.7147,-79.94,-123.587
-82.0056,-81.1238,-124.175
55.4004,160.352,-415.111
-27.7861,167.16,-336.982
-27.8926,167.134,-335.743
-27.9708,167.115,-331.646
-27.6594,167.191,-329.207
-27.9107,167.129,-325.956
-27.7959,167.158,-324.725
-27.9897,167.11,-323.962
-28.0182,167.103,-314.035
-24.6173,167.938,-306.889
-169.814,18.2329,-24.975
-122.257,-117.407,-142.282
-123.519,-118.504,-142.842
282.836,554.236,-1297.5
-31.1482,256.866,-422.6
-263.056,20.9413,7.8
-256.839,20.9125,6.6
-191.103,-174.009,-172
91.1419,241.869,-587.5
139.286,335.89,-792.5
136.336,330.574,-780.5
-33.0374,357.461,-553.3
-363.763,17.8518,43.8
-357.243,18.2428,41.4
-275.426,-234.916,-206.8
210.801,454.114,-1059.2
-25.1278,500.145,-738.5
-499.44,3.70789,91.1
-395.415,-308.359,-253.6
-394.846,-309.416,-251.2
-394.419,-310.208,-250.6
-393.742,-311.462,-251.2
2.08369,-503.874,-64.3
-0.849407,663.557,-953.1
-2.08013,657.502,-944.7
-657.55,-27.1082,148.7
-539.6,-379.522,-306.9

Event: 20
32.2399,-0.438864,115.355
31.493,5.75508,149.806
33.2485,6.07903,152.607
-11.443,-29.9814,102.725
-7.90073,31.2343,78.7617
-8.11375,32.1031,78.1931
68.2159,-0.240303,133.057
66.9676,13.0251,206.739
-24.9789,-63.3084,106.375
-15.9712,66.0032,55.9212
114.048,1.14963,155.633
-25.3454,111.618,26.0987
112.352,23.4059,279.864
-43.5899,-106,111.175
169.635,4.57482,183.158
-34.8624,166.474,-9.59259
166.424,37.6026,367.719
-67.1659,-155.694,116.725
-67.9356,-157.251,116.925
262.129,14.09,228.4
-46.4478,256.758,-68.3
250.032,63.6963,505.9
-110.536,-237.031,125.9
357.317,29.2151,275.7
-53.4228,358.232,-134.3
349.391,101.349,673.2
343.569,98.9283,663.6
-161.464,-320.756,135.5
499.94,62.6791,346.5
493.739,60.9318,344.1
-52.6966,496.134,-222.4
473.973,160.033,890.2
-244.373,-437.504,149.9
-36.3353,661.604,-330.9
-37.2364,655.82,-327.3
649.075,112.28,423.8
-351.6,-561.899,166
-347.527,-557.588,166

Event: 21
31.7012,4.02877,76.4613
27.0351,17.1172,85.4973
